,Jurisdiction,Year,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty,%Unemployed,Population,povNorm,povMinorsNorm,unempNorm,incomeNorm,DeathsInCounty,ResidentDeaths,PerCapDeathsInCounty,PerCapResidentDeaths,DeathsInCountyNorm,ResidentDeathsNorm
0,Connecticut,2012,67275,10.6,370537,14.6,114613,8.349386723834742,3594547,100,100,100,100,355.0,347.0,9.876070614739493e-05,9.653511276942547e-05,100.0,100.0
1,Fairfield,2012,79536,8.9,81756,11.1,24854,7.8,935099,83,76,93,118,52.0,51.0,5.5609085241241836e-05,5.453967975583334e-05,56.30689310609862,56.497245604406764
2,Hartford,2012,63374,12.2,106357,16.7,32889,8.5,897706,115,114,101,94,101.0,92.0,0.00011250899514985975,0.00010248344112660492,113.92080872927967,106.1618287755949
3,Litchfield,2012,67746,7.0,12975,8.6,3272,7.6,187570,66,58,91,100,17.0,20.0,9.063283040998028e-05,0.00010662685930585914,91.77013201456433,110.45396462169973
4,Middlesex,2012,74588,6.4,10376,7.5,2470,7.2,165634,60,51,86,110,19.0,26.0,0.00011471074779332745,0.00015697260224350074,116.15018995725686,162.60674250045213
5,New Haven,2012,59217,13.3,110945,20.4,37634,9.1,864566,125,139,108,88,99.0,90.0,0.00011450831978125441,0.0001040984725284131,115.94522178725315,107.83482770362815
6,New London,2012,65573,9.3,24476,13.3,7460,8.7,274091,87,91,104,97,41.0,43.0,0.00014958535668810723,0.0001568822033558198,151.4624211625819,162.5130989700438
7,Tolland,2012,75048,7.3,10014,7.2,2068,7.3,151967,68,49,87,111,12.0,12.0,7.896451203221753e-05,7.896451203221753e-05,79.95539431883701,81.79874634924248
8,Windham,2012,54221,12.1,13638,16.1,3965,9.4,117914,114,110,112,80,14.0,13.0,0.00011873060026799193,0.0001102498431059925,120.2204853525379,114.20698639398157
9,Connecticut,2013,67262,10.7,373387,14.5,112225,7.817717918539374,3594841,100,100,100,100,489.0,471.0,0.00013602826940051034,0.00013102109383975535,100.0,100.0
10,Fairfield,2013,81816,9.6,88010,11.9,26512,7.3,939924,89,82,93,121,94.0,83.0,0.00010000808576012529,8.830501189457871e-05,73.5200750556267,67.397553559261
11,Hartford,2013,63491,12.1,105605,17.4,33936,8.0,897678,113,120,102,94,132.0,119.0,0.0001470460454639637,0.0001325642379561491,108.0996223152803,101.17778295934627
12,Litchfield,2013,70519,7.2,13320,9.2,3372,7.1,186836,67,63,90,104,36.0,35.0,0.00019268235243743176,0.00018733006486972532,141.64875675225554,142.97702711812065
13,Middlesex,2013,75335,7.3,11735,7.6,2451,6.7,165329,68,52,85,112,17.0,33.0,0.00010282527566246697,0.00019960200569772997,75.59110772755386,152.34341268883935
14,New Haven,2013,58672,12.8,106771,17.7,32169,8.5,862820,119,122,108,87,135.0,130.0,0.00015646368883428757,0.0001506687373959806,115.02292098829021,114.99578654125358
15,New London,2013,62638,9.4,24564,13.4,7470,8.1,272976,87,92,103,93,56.0,51.0,0.00020514623996248753,0.0001868296113944083,150.81147534007948,142.5950630689355
16,Tolland,2013,73660,6.4,8744,7.0,1995,6.9,151778,59,48,88,109,10.0,9.0,6.58857014850637e-05,5.929713133655734e-05,48.435300820504686,45.257698282598966
17,Windham,2013,55948,13.0,14639,18.0,4321,8.8,117500,121,124,112,83,9.0,11.0,7.659574468085106e-05,9.361702127659574e-05,56.30869599269025,71.45186972037764
18,Connecticut,2014,70007,10.8,375281,14.9,113733,6.620777493765517,3594524,100,100,100,100,558.0,543.0,0.00015523613140432503,0.00015106311711926253,100.0,100.0
19,Fairfield,2014,85336,9.0,83132,11.8,26068,6.2,944196,83,79,93,121,91.0,76.0,9.63782943371927e-05,8.049176230358951e-05,62.08496273729448,53.28353064503643
20,Hartford,2014,65809,12.2,106078,17.6,33866,6.8,897407,112,118,102,94,166.0,142.0,0.0001849773848432205,0.00015823366655263443,119.1587185082782,104.74672413102057
21,Litchfield,2014,73413,7.7,14015,9.1,3232,6.0,185343,71,61,90,104,36.0,41.0,0.00019423447338178405,0.0002212114835736985,125.12194913945946,146.43646165400827
22,Middlesex,2014,76365,7.9,12636,9.1,2876,5.7,164786,73,61,86,109,24.0,48.0,0.0001456434405835447,0.0002912868811670894,93.82058111471781,192.8246197495858
23,New Haven,2014,60387,13.0,108729,18.4,32909,7.2,862885,120,123,108,86,141.0,140.0,0.00016340532052359238,0.00016224641754115555,105.2624276612447,107.40306478189771
24,New London,2014,65813,11.1,28868,16.7,9105,6.8,271462,102,112,102,94,51.0,49.0,0.0001878715989714951,0.0001805040852863384,121.02311315795957,119.4891835469227
25,Tolland,2014,78653,7.5,10253,7.3,2018,5.8,151693,69,48,87,112,25.0,26.0,0.00016480655007152604,0.00017139881207438708,106.16507161098603,113.46172073165268
26,Windham,2014,57547,10.3,11570,15.5,3660,7.3,116752,95,104,110,82,24.0,21.0,0.0002055639303823489,0.0001798684390845553,132.4201579379359,119.06840168176281
27,Connecticut,2015,71333,10.6,367867,14.6,110143,5.7335738511263346,3587122,100,100,100,100,727.0,709.0,0.0002026694380620453,0.00019765148773863837,100.0,100.0
28,Fairfield,2015,86297,9.0,83612,11.2,24471,5.4,944943,84,76,94,120,103.0,106.0,0.00010900128367531163,0.00011217607834546634,53.782792668493975,56.75448215892044
