,Jurisdiction,Year,ResidentDeaths,DeathsInCounty
0,Fairfield,2012,51,52
1,Fairfield,2013,83,94
2,Fairfield,2014,76,91
3,Fairfield,2015,106,103
4,Fairfield,2016,159,165
5,Fairfield,2017,147,165
6,Fairfield,2018,148,151
7,Hartford,2012,92,101
8,Hartford,2013,119,132
9,Hartford,2014,142,166
10,Hartford,2015,189,212
11,Hartford,2016,255,284
12,Hartford,2017,284,338
13,Hartford,2018,283,339
14,New Haven,2012,90,99
15,New Haven,2013,130,135
16,New Haven,2014,140,141
17,New Haven,2015,188,211
18,New Haven,2016,233,263
19,New Haven,2017,274,288
20,New Haven,2018,239,269
21,New London,2012,43,41
22,New London,2013,51,56
23,New London,2014,49,51
24,New London,2015,59,61
25,New London,2016,85,90
26,New London,2017,85,81
27,New London,2018,89,91
28,Litchfield,2012,20,17
29,Litchfield,2013,35,36
30,Litchfield,2014,41,36
31,Litchfield,2015,51,47
32,Litchfield,2016,38,29
33,Litchfield,2017,54,49
34,Litchfield,2018,69,65
35,Middlesex,2012,26,19
36,Middlesex,2013,33,17
37,Middlesex,2014,48,24
38,Middlesex,2015,64,40
39,Middlesex,2016,63,34
40,Middlesex,2017,86,45
41,Middlesex,2018,87,44
42,Windham,2012,13,14
43,Windham,2013,11,9
44,Windham,2014,21,24
45,Windham,2015,27,33
46,Windham,2016,27,27
47,Windham,2017,41,44
48,Windham,2018,36,33
49,Tolland,2012,12,12
50,Tolland,2013,9,10
51,Tolland,2014,26,25
52,Tolland,2015,25,20
53,Tolland,2016,30,25
54,Tolland,2017,30,28
55,Tolland,2018,33,26
